name,ts_code
山西汾酒,600809.SH
中国中免,601888.SH
五粮液,000858.SZ
泸州老窖,000568.SZ
青岛啤酒,600600.SH
招商积余,001914.SZ
片仔癀,600436.SH
海天味业,603288.SH
天坛生物,600161.SH
山东药玻,600529.SH
东阿阿胶,000423.SZ
华东医药,000963.SZ
安琪酵母,600298.SH
伊利股份,600887.SH
涪陵榨菜,002507.SZ
贵州茅台,600519.SH
云南白药,000538.SZ
同仁堂,600085.SH
恒顺醋业,600305.SH
羚锐制药,600285.SH
华润三九,000999.SZ
苏泊尔,002032.SZ
白云山,600332.SH
格力电器,000651.SZ
济川药业,600566.SH
达仁堂,600329.SH
洋河股份,002304.SZ
